name,season,team,player,score,position,age,goals,period,order,last
England fa cup,2020-2021,Milton Keynes Dons vs Burnley,Regan Poole,o,df,22,1,1,1,0
,,,Matej Vydra,x,fw,28,55,3,1,0
,,,Joe Mason,o,mf,29,32,1,2,0
,,,Matthew Lowton,o,df,31,4,6,2,0
,,,Lasse Sorensen,x,mf,21,0,1,3,0
,,,Dale Stephens,o,mf,31,17,1,3,0
,,,Ben Gladwin,x,mf,28,2,1,4,0
,,,Josh Benson,o,mf,21,0,1,4,0
,,,Scott Fraser,o,mf,25,14,1,5,1
,,,Phil Bardsley,o,df,35,7,4,5,1
,,Blackpool vs WBA,Jerry Yates,x,fw,24,22,1,1,0
,,,Kamil Grosicki,o,mf,32,39,2,1,0
,,,Kenneth Dougall,o,mf,27,6,1,2,0
,,,Kyle Edwards,x,mf,22,3,3,2,0
,,,James Husband,o,df,26,1,2,3,0
,,,Darnell Furlong,x,df,25,4,2,3,0
,,,Gary Madine,o,fw,30,27,2,4,0
,,,Jake Livermore,o,mf,31,16,5,4,0
,,,Sullay Kaikai,x,mf,25,14,2,5,1
,,,Matheus Pereira,x,mf,24,33,2,5,1
,,Newport vs brighton,Josh Sheehan,x,mf,25,5,2,1,0
,,,Pascal Gross,o,mf,29,21,4,1,0
,,,Mickey Demetriou,x,df,30,4,2,2,0
,,,Neal Maupay,x,fw,24,54,2,2,0
,,,Joss Labadie,o,mf,30,8,2,3,0
,,,Yves Bissouma,x,mf,24,5,3,3,0
,,,Ryan Taylor,o,fw,32,2,1,4,0
,,,Lewis Dunk,o,df,29,22,8,4,0
,,,Liam Shephard,x,df,26,2,1,5,0
,,,Leandro Trossard,x,mf,26,16,2,5,0
,,,Jamie Proctor,o,fw,28,5,1,6,0
,,,Davy Propper,o,mf,29,34,3,6,0
,,,Scot Bennett,x,mf,30,3,2,7,1
,,,Adam Webstar,o,df,25,8,2,7,1
,2021-2022,QPR vs Rotherham,Lyndon Dykes,o,fw,26,26,2,1,0
,,,Michael Smith,o,fw,30,37,3,1,0
,,,Stefan Johansen,o,mf,30,30,1,2,0
,,,Oliver Rathbone,o,mf,25,5,1,2,0
,,,Andre Gray,o,fw,30,80,1,3,0
,,,Wes harding,x,df,25,0,2,3,0
,,,Andre Dozzell,x,mf,22,2,1,4,0
,,,Joshus Kayode,o,fw,21,5,1,4,0
,,,Albert Adomah,o,mf,34,51,2,5,0
,,,Hakeem Odoffin,o,mf,23,0,1,5,0
,,,Luke Amos,o,mf,24,8,3,6,0
,,,Jamie Lindsay,o,mf,26,4,2,6,0
,,,Yoann Barbet,o,df,28,10,3,7,0
,,,Tolaji Bola,o,mf,22,0,1,7,0
,,,Jimmy Dunne,o,df,24,5,1,8,0
,,,Michael ihiekwe,o,df,29,7,3,8,0
,,,Rob Dickie,o,df,25,6,2,9,1
,,,Chiedozie Ogbene,x,mf,24,3,2,9,1
,,Middlesbrough vs Man utd,Paddy McNair,o,df,26,19,4,1,0
,,,Juan Mata,o,mf,33,86,9,1,0
,,,Martin Payero,o,mf,23,2,1,2,0
,,,Harry Maguire,o,df,28,15,3,2,0
,,,Jonny Howson,o,mf,33,29,5,3,0
,,,Fred,o,mf,28,11,4,3,0
,,,Marcus Tavernier,o,mf,22,15,5,4,0
,,,Cristiano Ronaldo,o,fw,36,551,4,4,0
,,,Sol Bamba,o,mf,36,15,1,5,0
,,,Bruno Fernandes,o,mf,27,117,3,5,0
,,,Duncan Watmore,o,fw,27,19,2,6,0
,,,Scott Mctominay,o,mf,25,12,6,6,0
,,,Dael Fry,o,df,24,2,6,7,0
,,,Diogo Dalot,o,df,22,2,3,7,0
,,,Lee Peltier,o,mf,35,1,1,8,1
,,,Anthony Elanga,x,mf,19,4,2,8,1
,,Chelsea vs Liverpool,Marcos Alonso,o,df,31,33,4,1,0
,,,James Milner,o,mf,35,46,7,1,0
,,,Cesar Azpilicueta,x,df,32,16,10,2,0
,,,Thiago Alcantara,o,mf,30,38,2,2,0
,,,Reece James,o,df,22,11,3,3,0
,,,Roberto Firmino,o,fw,30,134,7,3,0
,,,Ross Barkley,o,mf,28,31,5,4,0
,,,Trent Alexander-arnold,o,df,23,11,6,4,0
,,,Jorginho,o,mf,30,36,4,5,0
,,,Sadio Mane,x,fw,29,143,6,5,0
,,,Hakim Ziyech,o,mf,28,96,2,6,0
,,,Diogo Jota,o,fw,25,84,2,6,0
,,,Mason Mount,x,mf,22,51,3,7,1
,,,Kostas Tsimikas,o,df,25,8,2,7,1
,2022-2023,Brighton vs Man utd,Alexis Mac Allistar,o,mf,24,25,4,1,0
,,,Casemiro,o,mf,31,38,1,1,0
,,,Pascal Gross,o,mf,31,32,6,2,0
,,,Diogo Dalot,o,df,24,2,5,2,0
,,,Deniz Undav,o,fw,26,21,1,3,0
,,,Jadon Sancho,o,mf,23,53,2,3,0
,,,Pervis Estupinan,o,df,25,2,1,4,0
,,,Marcus Rashford,o,fw,25,114,8,4,0
,,,Lewis Dunk,o,df,31,24,10,5,0
,,,Marcel Sabitzer,o,mf,29,49,1,5,0
,,,Adam Webstar,o,df,28,11,4,6,0
,,,Wout Weghorst,o,fw,30,125,1,6,0
,,,Solly March,x,mf,28,18,10,7,1
,,,Victor Lindelof,o,df,28,5,5,7,1
England League cup,2020-2021,Stoke vs Blackpool,James mcClean,x,mf,31,32,3,1,0
,,,Oliver Sarkic,x,fw,23,0,1,1,0
,,,Tyrese Campbell,o,fw,21,15,4,2,0
,,,CJ Hamilton,o,mf,25,5,1,2,0
,,,Sam Clucas,o,mf,30,28,3,3,0
,,,Keshi Anderson,x,mf,25,2,1,3,0
,,,Jordan Thompson,x,mf,23,2,2,4,0
,,,Ethan Robson,o,mf,24,0,1,4,0
,,,Steven Fletcher,o,fw,33,102,1,5,0
,,,Sullay Kaikai,o,fw,25,14,2,5,0
,,,Bruno Martins,o,df,28,6,5,6,0
,,,James Husband,o,df,26,1,2,6,0
,,,Tashan Oakley-Boothe,o,mf,20,0,2,7,1
,,,Oliver Turton,x,df,28,1,2,7,1
,,Brentford vs Wycombe,Ivan Toney,o,fw,24,33,1,1,0
,,,Joe Jacobson,o,df,34,15,2,1,0
