name,season,team,player,score,position,age,squad,goals,order,last
World Cup,2014,Costa Rica vs Greece,Celso Borges,o,mf,26,73,15,1,0
,,,Konstantinos Mitroglou,o,fw,26,43,8,1,0
,,,Bryan Ruiz,o,mf,29,70,15,2,0
,,,Lazaros Christodoulopoulos,o,mf,28,28,1,2,0
,,,Ginacarlo gonzalez,o,df,26,45,2,3,0
,,,Jose Cholevas,o,df,30,28,1,3,0
,,,Joel Campbell,o,fw,22,40,10,4,0
,,,Theofanis Gekas,x,fw,34,83,24,4,0
,,,Michael Umana,o,df,32,101,1,5,1
,,Brazil vs Chile,David Luiz,o,df,27,52,2,1,0
,,,Mauricio Pinilla,x,fw,30,36,6,1,0
,,,Willian,x,fw,26,14,2,2,0
,,,Alexis Sanchez,x,fw,26,72,24,2,0
,,,Marcelo,o,df,26,49,4,3,0
,,,Charles Aranguiz,o,mf,25,33,3,3,0
,,,Hulk,x,fw,28,43,9,4,0
,,,Marcelo Diaz,o,mf,28,28,1,4,0
,,,Neymar,o,fw,22,54,35,5,1
,,,Gonzalo Jara,x,df,29,79,3,5,1
,,Costa Rica vs Netherlands,Celso Borges,o,mf,26,73,15,1,0
,,,Robin van Persie,o,fw,31,96,47,1,0
,,,Bryan Ruiz,x,mf,29,70,15,2,0
,,,Arjen Robben,o,fw,30,93,26,2,0
,,,Gincarlo Gonzalez,o,df,26,45,2,3,0
,,,Wesley Sneijder,o,mf,30,112,27,3,0
,,,Christian Bolanos,o,fw,30,63,2,4,0
,,,Dirk Kuyt,o,fw,34,124,24,4,0
,,,Michael Umana,x,df,32,101,1,5,1
,,Netherlands vs Argentina,Ron Vlaar,x,df,29,48,1,1,0
,,,Lionel Messi,o,fw,27,96,42,1,0
,,,Arjen Robben,o,fw,30,93,26,2,0
,,,Ezequiel Garay,o,df,28,38,0,2,0
,,,Wesley Sneijder,x,mf,30,112,27,3,0
,,,Sergio Aguero,o,fw,26,67,21,3,0
,,,Dirk Kuyt,o,fw,34,124,24,4,1
,,,Maxi Rodriguez,o,fw,33,74,16,4,1
,2018,Colombia vs England,Radamel Falcao,o,fw,32,82,30,1,0
,,,Harry Kane,o,fw,25,34,19,1,0
,,,Juan Cuadrado,o,mf,30,83,8,2,0
,,,Marcus Rashford,o,fw,21,31,3,2,0
,,,Luis Muriel,o,fw,27,43,2,3,0
,,,Jordan Henderson,x,mf,28,54,0,3,0
,,,Mateus Uribe,x,mf,27,13,0,4,0
,,,Kieran Trippier,o,df,28,17,1,4,0
,,,Carlos Bacca,x,fw,32,71,16,5,1
,,,Eric Dier,o,df,24,36,3,5,1
,,Denmark vs Croatia,Christian Eriksen,x,mf,26,85,23,1,0
,,,Milan Badelj,x,mf,29,63,2,1,0
,,,Simon Kjaer,o,df,29,86,3,2,0
,,,Andrej Kramaric,o,fw,27,43,10,2,0
,,,Michael Krohn-Dehli,o,mf,35,65,6,3,0
,,,Luka Modric,o,mf,33,119,14,3,0
,,,Lasse Schone,x,mf,32,61,3,4,0
,,,Josip Pivaric,x,df,29,33,0,4,0
